Rank,Median Household Income,Zip / Population,Zip,Population
208,"$95,625 ","93441 / 1,195",93441,"1,195"
1215,"$43,333 ","92070 / 1,193",92070,"1,193"
1182,"$44,412 ","95468 / 1,192",95468,"1,192"
976,"$51,992 ","94514 / 1,174",94514,"1,174"
1287,"$41,393 ","95553 / 1,173",95553,"1,173"
1593,"$27,938 ","93201 / 1,173",93201,"1,173"
666,"$63,750 ","92398 / 1,165",92398,"1,165"
713,"$61,500 ","95113 / 1,163",95113,"1,163"
1173,"$44,583 ","96024 / 1,163",96024,"1,163"
188,"$98,315 ","91008 / 1,149",91008,"1,149"
396,"$79,327 ","95664 / 1,135",95664,"1,135"
854,"$56,394 ","95937 / 1,133",95937,"1,133"
578,"$68,261 ","92518 / 1,129",92518,"1,129"
930,"$53,419 ","96008 / 1,128",96008,"1,128"
529,"$71,000 ","92358 / 1,127",92358,"1,127"
501,"$72,204 ","96140 / 1,126",96140,"1,126"
1160,"$45,268 ","96051 / 1,110",96051,"1,110"
1273,"$41,888 ","95942 / 1,098",95942,"1,098"
915,"$54,034 ","95565 / 1,092",95565,"1,092"
724,"$61,157 ","96120 / 1,091",96120,"1,091"
778,"$59,028 ","95615 / 1,090",95615,"1,090"
964,"$52,279 ","96107 / 1,077",96107,"1,077"
517,"$71,667 ","94933 / 1,069",94933,"1,069"
554,"$69,750 ","95703 / 1,065",95703,"1,065"
1496,"$33,125 ","92368 / 1,064",92368,"1,064"
4,"$187,857 ","94957 / 1,063",94957,"1,063"
938,"$53,194 ","95612 / 1,045",95612,"1,045"
1331,"$39,622 ","91963 / 1,043",91963,"1,043"
1388,"$37,727 ","96044 / 1,040",96044,"1,040"
1499,"$33,036 ","95317 / 1,033",95317,"1,033"
1169,"$44,792 ","95303 / 1,019",95303,"1,019"
1116,"$46,667 ","95652 / 1,010",95652,"1,010"
1637,"$24,118 ","93218 / 1,009",93218,"1,009"
1448,"$35,476 ","95313 / 1,006",95313,"1,006"
1245,"$42,545 ","95629 / 1,002",95629,"1,002"
882,"$55,500 ",95323 / 998,95323,998
1164,"$45,147 ",92339 / 997,92339,997
1592,"$28,005 ",93518 / 986,93518,986
318,"$85,000 ",94586 / 984,94586,984
771,"$59,375 ",95497 / 983,95497,983
1076,"$48,510 ",95369 / 977,95369,977
1479,"$34,191 ",96048 / 977,96048,977
1573,"$29,250 ",95960 / 974,95960,974
981,"$51,921 ",94937 / 970,94937,970
1538,"$31,438 ",95686 / 965,95686,965
1342,"$39,219 ",95306 / 952,95306,952
975,"$52,000 ",93544 / 951,93544,951
380,"$80,288 ",93962 / 939,93962,939
179,"$99,167 ",95227 / 938,95227,938
466,"$74,583 ",95674 / 922,95674,922
1420,"$36,838 ",92309 / 916,92309,916
16,"$162,328 ",94528 / 915,94528,915
1024,"$50,500 ",95466 / 913,95466,913
1407,"$37,188 ",92322 / 911,92322,911
1377,"$38,359 ",93673 / 910,93673,910
837,"$56,875 ",95689 / 904,95689,904
600,"$66,932 ",91917 / 896,91917,896
1389,"$37,703 ",95410 / 886,95410,886
202,"$96,281 ",94938 / 884,94938,884
1433,"$36,310 ",96069 / 880,96069,880
406,"$78,558 ",95251 / 874,95251,874
1026,"$50,455 ",93604 / 874,93604,874
1115,"$46,827 ",95635 / 870,95635,870
849,"$56,607 ",95549 / 869,95549,869
416,"$77,679 ",93424 / 853,93424,853
274,"$88,971 ",90742 / 842,90742,842
810,"$57,670 ",93920 / 839,93920,839
935,"$53,250 ",96146 / 823,96146,823
781,"$58,889 ",96096 / 814,96096,814
1269,"$42,083 ",93450 / 814,93450,814
1634,"$24,205 ",96015 / 814,96015,814
1603,"$26,958 ",93626 / 813,93626,813
982,"$51,908 ",95943 / 805,95943,805
925,"$53,571 ",93432 / 798,93432,798
752,"$60,139 ",93517 / 796,93517,796
1480,"$34,063 ",92282 / 783,92282,783
946,"$52,841 ",96148 / 781,96148,781
908,"$54,444 ",95659 / 775,95659,775
1625,"$25,662 ",96047 / 775,96047,775
488,"$72,607 ",95444 / 774,95444,774
791,"$58,438 ",95957 / 773,95957,773
858,"$56,250 ",95636 / 771,95636,771
1585,"$28,472 ",95387 / 768,95387,768
858,"$56,250 ",95830 / 762,95830,762
538,"$70,781 ",96128 / 758,96128,758
622,"$65,938 ",95668 / 752,95668,752
1548,"$31,058 ",96058 / 752,96058,752
421,"$77,305 ",94923 / 736,94923,736
1228,"$42,857 ",96142 / 731,96142,731
1566,"$29,659 ",96109 / 731,96109,731
786,"$58,643 ",94567 / 730,94567,730
25,"$149,821 ",95007 / 727,95007,727
1547,"$31,111 ",93608 / 725,93608,725
1258,"$42,273 ",95950 / 724,95950,724
1461,"$34,769 ",93452 / 721,93452,721
946,"$52,841 ",95701 / 718,95701,718
1001,"$51,250 ",93526 / 714,93526,714
